504	"A este respecto, Alberto Castro incidió en la necesidad de cerrar el ciclo de producción, transformación y consumo del biodiésel en Castilla y León, con los beneficios sociales y medioambientales que ello supone al potenciarse la agricultura y las energías renovables."	ES-ES
2531	"En el caso de Brasil, el Programa Hambre Cero y su derivado Bolsa Familia, más otras instituciones (CONSEA), se ocupan de dar seguridad alimentaria a su población."	ES
1974	"La Generalitat de Cataluña se ha hecho cargo provisionalmente de la custodia de un bebé de nueve meses de Llançà después de que el pasado lunes la Policía Local del municipio detuviera a sus padres, acusados de posibles malos tratos al menor, según ha informado hoy el departamento de Acción Social y Ciudadanía."	ES-ES
3166	"A continuación, Gastón Fernández Palma, presidente de Aapresid, coincidió con la visión de Ruiz al afirmar que “es el momento más indicado para hablar de una realidad contrastante, por el desconcierto que nos provocan algunas medidas oficiales y las conductas de algunos integrantes de la cadena que impactan sobre la economía y las finanzas de los productores, en un momento en que el mundo genera oportunidades verdaderamente competitivas”."	ES-ES
3172	"En la lista del miércoles hay ausencias notables, incluyendo el inversionista global George Soros. Buffett aseguró que muchos todavía no recibieron la llamada, pero se negó a revelar quién rechazó la invitación."	ES
4977	"Cuando estás retornando hacia los médanos por Valeria del Mar, prestale atención a las mil hojas hechas por una familia descendientes de alemanes que ofrecen dulces varios del mejor estilo casero. Se los encuentra en la esquina de Falucho San Martín y Sarandí, sólo en temporada."	ES-AR
1798	"«El PP es el que tiene las soluciones», señaló Cospedal , para quien las propuestas de su partido son las que realmente necesitan los empresarios y los trabajadores españoles, «las soluciones de un partido que defiende el interés general de España. Nosotros sabemos hacerlo y no un gobierno que no quiere ver la situación de crisis en la que estamos», indicó."	ES-ES
4314	"Estoy muy agradecido de jugar en Benfica, afirmó Aimar, que hasta hace poco estuvo codiciado por River Plate y Belgrano de Córdoba. Aimar, que llegó al Benfica en el 2008, jugó anteriormente en River Plate; Valencia y Zaragoza, de España."	ES-AR
4442	"El concejal Manuel Aguilera expuso ayer en un comunicado de prensa que el PSOE «busca las tres patas al gato» en este asunto. Hasta ahora se ha debatido el estudio de viabilidad, que el edil define como «un éxito para el Ayuntamiento, para la Balona y para los clubes de deporte base»."	ES-ES
3874	"Rodra , como lo conocen sus amigos, tomó trascendencia pública en diciembre pasado cuando militantes de la organización juvenil K vociferaron su apodo desde los palcos del Congreso junto a diferentes epítetos para hostigar a su ex novia, Victoria Donda, durante su jura como diputada."	ES
