Id	Instance	Markers	New.Gold.Label
172751	"O formador será o fotógrafo Fernando Batista, com quase uma década de experiência na área de fotografia de vida selvagem e natureza."	['N/A']	PT
155753	"Pesquisadores dos Estados Unidos que estudaram o efeito dos programas sobre o público no Quênia, Zâmbia e Trinidad e Tobago, descobriram o pensamento dos jovens sobre o HIV e a Aids foi alterado."	['N/A']	PT-BR
156646	"O Furacão vai presentear os torcedores bons de palpites que participarem da brincadeira nas redes sociais do clube. Serão sorteadas duas camisetas entre os participantes que acertarem o placar do jogo Atlético X Grêmio Prudente, os autores dos gols e o minuto em que foram marcados. Os palpites podem ser eviados via Facebook, Twitter e Orkut, até às 14h de amanhã. Só valem mensagens seguidas da tag JuntosPelaLibertadores."	['N/A']	PT-BR
155187	"Vencido o elevado que nos liga a São Conrado, atingi, entrando à direita, a Avenida Prefeito Ângelo Mendes de Moraes. Ao final dela, quando se deve chegar à Avenida Niemeyer, a bagunça de sempre."	['N/A']	PT-BR
155052	"A direção da USP do câmpus da zona leste vai modificar a grade de pelo menos mais um curso que passa por problemas de aceitação no mercado, o de Gerontologia. Segundo a reitoria de graduação, os conteúdos serão revistos e várias propostas estão sendo analisadas. O formato final, porém, deverá ficar pronto no ano que vem, para entrar em vigor a partir de 2012."	['direção']	PT-BR
156709	"O governo regional da Estremadura espanhola tem agora 15 dias para se pronunciar e, se o não fizer, o ministério de Madrid fará a sua declaração de impacto ambiental nos termos propostos."	['N/A']	PT-BR
156151	"Antônio Carlos Capistrano não possui o Cartão Cidadão, por isso terá que retirar seu benefício diretamente nos guichês do banco. Quem possui o cartão pode resgatar o dinheiro nos caixas eletrônicos, agências Caixa Aqui e lotéricas."	['N/A']	PT-BR
155245	"?Os pequenos tem a clareza de que devem diversificar a produção em seus lotes, mas sem a ajuda do governo não conseguirão atingir os seus objetivos, pois são pessoas carentes, oriundos da reforma agrária e que não possuem recursos financeiros para a execução desses serviços?, ponderou."	['N/A']	PT-BR
154840	"Além de Jacob, foi assinado por Dora Rodrigues Hees, da PUC, Philippe Waniez, da Universidade de Bordeaux, França, e Violette Brustlein, do Centro Nacional de Pesquisa Científica, da França."	['N/A']	PT-BR
156665	"Brochuras, faixas e lonas publicitárias usadas para promover o Algarve ganharam nova vida depois de terem sido recicladas e transformadas em malas e acessórios BBags, a mais recente coleção de merchandising do Turismo do Algarve que já está à venda em cinco postos de turismo na região."	['N/A']	PT-BR
